fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.0,0.00541,0.01177,0.82284,0.00084,2.05564,0.62849,4.71466,0.53658,1.83551,0.01166,0.9,0.37734,0.00073,0.05714,0.47359,0.00196,0.00049,0.00519,0.41681,0.009,0.55289,0.01038,0.008,0.0,10
0.0,0.00553,0.01,0.82006,0.00052,3.32743,0.64188,5.6587,0.65105,1.61646,0.0,0.88825,0.41133,0.00129,0.09767,0.45945,0.00083,0.00099,0.0121,0.3005,0.00425,0.91966,0.01112,0.01706,0.00148,10
0.0,0.01,0.01238,0.78244,0.001,2.75734,0.95,9.21036,0.42301,1.01965,0.00651,0.83115,0.36446,0.0,0.10058,0.48689,0.00084,0.0003,0.01084,0.41941,0.00202,0.86222,0.0,0.0126,0.0,10
0.0,0.01,0.01123,0.81382,0.00069,2.68531,0.71869,8.80304,0.58399,1.45445,0.01421,0.61409,0.41308,0.00127,0.07849,0.68173,0.00054,0.00033,0.00024,0.56956,0.00978,0.84471,0.0,0.0012,0.00103,10
0.0,0.00638,0.0113,0.81681,0.00023,3.27733,0.77657,8.38584,0.64967,1.08412,0.00235,0.66841,0.29799,0.00046,0.08543,0.53116,0.00073,0.001,0.0044,0.58373,0.00296,0.83126,0.00121,0.0,0.00165,10
0.0,0.00677,0.01137,0.94089,0.00078,3.56307,0.83354,6.40793,0.47086,1.12499,0.01352,0.71235,0.46436,0.00046,0.0868,0.55122,0.00156,0.00065,0.00013,0.34932,0.00369,0.91335,0.0071,0.0005,0.0,10
0.0,0.01,0.0104,0.82671,0.00036,2.91865,0.77374,8.78347,0.53223,1.99623,0.00547,0.9,0.40155,0.00052,0.11011,0.52894,0.0,9e-05,0.00057,0.44632,0.00674,0.69056,0.00707,0.01894,0.00155,10
0.0,0.00752,0.01172,0.88049,0.00037,2.9936,0.75303,6.36218,0.52666,1.40802,0.01368,0.9,0.56528,0.00047,0.05826,0.50032,0.00032,0.0,0.0,0.53573,0.0,0.68735,0.0,0.01271,0.00014,9
0.0,0.00683,0.0106,0.88938,0.001,2.79557,0.7053,8.674,0.48422,1.26198,0.0,0.78416,0.42706,0.00049,0.08425,0.42009,0.00055,0.00079,0.0,0.36179,0.00977,0.71259,0.00437,0.01517,2e-05,8
0.0,0.00774,0.01213,0.90553,0.00058,2.9112,0.6781,8.84615,0.64486,1.03982,0.0,0.59778,0.30188,0.00035,0.10683,0.59101,0.0012,0.0008,0.00028,0.47604,0.00069,1.0,0.00099,0.00474,0.00022,9
0.0,0.00916,0.01026,0.86935,0.00063,3.06393,0.69137,9.32023,0.43955,1.23705,0.0,0.54911,0.4477,0.00131,0.12879,0.36002,0.00073,0.001,0.00045,0.59285,0.00261,0.90958,0.01205,0.0097,0.00014,10
0.0,0.00708,0.01083,0.88992,0.00092,3.07212,0.77857,9.57843,0.51304,1.10357,0.0,0.82593,0.65831,0.00146,0.10629,0.47641,0.00173,0.00045,0.00044,0.30376,0.00322,0.76886,0.00089,0.00526,0.00017,10
